lengua_progra;n;equivalentes
C++;85;C++
JavaScript;82;JavaScript
Python;74;Python
PHP;35;PHP
Java;27;Java
GO;6;GO
Ninguno;4;Ninguno
C#;4;Otro
Typescript;2;Otro
java;2;Java
Kotlin;1;Otro
.net;1;Otro
HTML;1;Otro
Flutter;1;Otro
Ruby on rails;1;Otro
Rust;1;Otro
Sql;1;Otro
TypeScript y C#;1;Otro
C;1;Otro
VBasic;1;Otro
Wolfram 77 DOS;1;Otro
c++;1;C++
Nodejs;1;Otro
